"Datenbasis";"Berichtsjahr";"Region";"Beschäftigtengrößenklassen";"Zählen";
"Anzahl  Niederlassungen";"2018";"61450 Schwielochsee";"10  bis   49";8;
"Anzahl  Niederlassungen";"2018";"61450 Schwielochsee";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61450 Schwielochsee";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61470 Spreewaldheide";"0  bis     9";7;
"Anzahl  Niederlassungen";"2018";"61470 Spreewaldheide";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"61470 Spreewaldheide";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61470 Spreewaldheide";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61471 Steinreich";"0  bis     9";8;
"Anzahl  Niederlassungen";"2018";"61471 Steinreich";"10  bis   49";-;
"Anzahl  Niederlassungen";"2018";"61471 Steinreich";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61471 Steinreich";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61476 Straupitz";"0  bis     9";38;
"Anzahl  Niederlassungen";"2018";"61476 Straupitz";"10  bis   49";4;
"Anzahl  Niederlassungen";"2018";"61476 Straupitz";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61476 Straupitz";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61492 Teupitz, Stadt";"0  bis     9";86;
"Anzahl  Niederlassungen";"2018";"61492 Teupitz, Stadt";"10  bis   49";8;
"Anzahl  Niederlassungen";"2018";"61492 Teupitz, Stadt";"50  bis 249";1;
"Anzahl  Niederlassungen";"2018";"61492 Teupitz, Stadt";"250 und mehr";1;
"Anzahl  Niederlassungen";"2018";"61510 Unterspreewald";"0  bis     9";38;
"Anzahl  Niederlassungen";"2018";"61510 Unterspreewald";"10  bis   49";4;
"Anzahl  Niederlassungen";"2018";"61510 Unterspreewald";"50  bis 249";-;
"Anzahl  Niederlassungen";"2018";"61510 Unterspreewald";"250 und mehr";-;
"Anzahl  Niederlassungen";"2018";"61540 Wildau";"0  bis     9";544;
"Anzahl  Niederlassungen";"2018";"61540 Wildau";"10  bis   49";103;
