AGS5;AGS;AGS-Bezeichnung;WZ3;WZ1-Code;WZ2-Code;WZ3-CodeNeu;WZ3-Code;WZ3-Name;insgesamt;SvB_0_bis_9;SvB_10_bis_49;SvB_50_bis_249;SvB_250_und_mehr;ID
69397;12069397;Michendorf;;;;;;;571;530;33;8;0;240
69402;12069402;Mühlenfließ;;;;;;;46;44;1;1;0;252
69448;12069448;Niemegk, Stadt;;;;;;;122;106;13;3;0;74
69454;12069454;Nuthetal;;;;;;;417;393;20;4;0;48
69460;12069460;Päwesin;;;;;;;27;26;1;0;0;152
69470;12069470;Planebruch;;;;;;;34;33;1;0;0;15
69474;12069474;Planetal;;;;;;;44;42;2;0;0;76
69485;12069485;Rabenstein/Fläming;;;;;;;37;37;0;0;0;185
69537;12069537;Rosenau;;;;;;;21;20;1;0;0;175
69541;12069541;Roskow;;;;;;;34;30;4;0;0;151
69590;12069590;Schwielowsee;;;;;;;450;415;32;3;0;421
69596;12069596;Seddiner See;;;;;;;167;145;16;4;2;230
69604;12069604;Stahnsdorf;;;;;;;767;711;42;12;2;101
69616;12069616;Teltow, Stadt;;;;;;;1067;942;97;24;4;116
69632;12069632;Treuenbrietzen, Stadt;;;;;;;352;321;27;3;1;83
69648;12069648;Wenzlow;;;;;;;19;18;1;0;0;94
69656;12069656;Werder (Havel), Stadt;;;;;;;1099;991;93;15;0;206
69665;12069665;Wiesenburg/Mark;;;;;;;191;173;15;3;0;102
69680;12069680;Wollin;;;;;;;27;24;3;0;0;215
69688;12069688;Wusterwitz;;;;;;;141;134;7;0;0;201
69696;12069696;Ziesar, Stadt;;;;;;;140;120;16;4;0;167
70008;12070008;Bad Wilsnack, Stadt;;;;;;;152;129;18;4;1;25
70028;12070028;Berge;;;;;;;31;29;2;0;0;131
70052;12070052;Breese;;;;;;;51;49;2;0;0;104
70060;12070060;Cumlosen;;;;;;;33;30;3;0;0;65
70096;12070096;Gerdshagen;;;;;;;18;14;4;0;0;314
70125;12070125;Groß Pankow (Prignitz);;;;;;;115;106;7;2;0;194
70145;12070145;Gülitz-Reetz;;;;;;;11;11;0;0;0;247
70149;12070149;Gumtow;;;;;;;107;103;3;1;0;241
70153;12070153;Halenbeck-Rohlsdorf;;;;;;;13;12;1;0;0;374
70173;12070173;Karstädt;;;;;;;245;214;27;4;0;156
70222;12070222;Kümmernitztal;;;;;;;5;5;0;0;0;309
70236;12070236;Lanz;;;;;;;33;31;2;0;0;166
70241;12070241;Legde/Quitzöbel;;;;;;;17;17;0;0;0;158
70244;12070244;Lenzen (Elbe), Stadt;;;;;;;127;118;8;1;0;169
70246;12070246;Lenzerwische;;;;;;;12;11;1;0;0;159
70266;12070266;Marienfließ;;;;;;;24;21;3;0;0;171
70280;12070280;Meyenburg, Stadt;;;;;;;118;108;6;3;1;310
70296;12070296;Perleberg, Stadt;;;;;;;669;588;65;14;2;105
70300;12070300;Pirow;;;;;;;16;15;1;0;0;125
70302;12070302;Plattenburg;;;;;;;114;105;7;2;0;32
70316;12070316;Pritzwalk, Stadt;;;;;;;629;528;80;19;2;196
70325;12070325;Putlitz, Stadt;;;;;;;125;116;8;1;0;305
70348;12070348;Rühstädt;;;;;;;16;15;1;0;0;68
70393;12070393;Triglitz;;;;;;;10;10;0;0;0;130
70416;12070416;Weisen;;;;;;;32;27;4;1;0;64
70424;12070424;Wittenberge, Stadt;;;;;;;737;645;75;15;2;31
71028;12071028;Briesen;;;;;;;26;26;0;0;0;339
71032;12071032;Burg (Spreewald);;;;;;;280;259;17;4;0;330
